Minute,mean_date,mean_depth,mean_temperature,mean_salinity
0,2021-01-15T11:30:25Z,0.30183333333333334,29.297083333333333,33.857137869166664
1,2021-01-15T11:31:25Z,0.29270833333333335,29.2825,33.861960449166666
2,2021-01-15T11:32:25Z,0.2920833333333333,29.300416666666667,33.84743618291667
3,2021-01-15T11:33:25Z,0.30333333333333334,29.293333333333333,33.853921112916666
4,2021-01-15T11:34:25Z,0.30025,29.200833333333332,33.88663475375
5,2021-01-15T11:35:25Z,0.29591666666666666,29.2175,33.85434389416667
6,2021-01-15T11:36:25Z,0.30683333333333335,29.194583333333334,33.86860976
7,2021-01-15T11:37:25Z,0.31758333333333333,29.17791666666667,33.872397113333335
8,2021-01-15T11:38:25Z,0.30675,29.160416666666666,33.885403718333336
9,2021-01-15T11:39:25Z,0.303875,29.17625,33.872022694583336
10,2021-01-15T11:40:25Z,0.309125,29.235833333333336,33.88766810625
11,2021-01-15T11:41:25Z,0.3016666666666667,29.24125,33.921512874583335
12,2021-01-15T11:42:25Z,0.29704166666666665,29.200416666666666,33.925883069166666
13,2021-01-15T11:43:25Z,0.31504166666666666,29.195416666666667,33.91980641666667
14,2021-01-15T11:44:25Z,0.305375,29.284166666666668,33.86500809541667
15,2021-01-15T11:45:25Z,0.31133333333333335,29.25,33.83550877333333
16,2021-01-15T11:46:25Z,0.30233333333333334,29.230833333333333,33.8340767925
17,2021-01-15T11:47:25Z,0.3109166666666667,29.21,33.82752600916667
18,2021-01-15T11:48:25Z,0.30375,29.23,33.8284524525
19,2021-01-15T11:49:25Z,0.301125,29.215416666666666,33.720748975
20,2021-01-15T11:50:25Z,0.30466666666666664,29.22625,33.78810252375
21,2021-01-15T11:51:25Z,0.30883333333333335,29.195,33.78426366083333
22,2021-01-15T11:52:25Z,0.30683333333333335,29.191666666666666,33.76814152125
23,2021-01-15T11:53:25Z,0.31525000000000003,29.173333333333332,33.783730014583334
24,2021-01-15T11:54:25Z,0.299875,29.204583333333332,32.601078765416666
25,2021-01-15T11:55:25Z,0.31095833333333334,29.220833333333335,33.78247689166667
26,2021-01-15T11:56:25Z,0.3174166666666667,29.20916666666667,33.81301930958333
27,2021-01-15T11:57:25Z,0.3082083333333333,29.313333333333333,33.79310196958333
28,2021-01-15T11:58:25Z,0.3057916666666667,29.318333333333335,33.787621441249996
29,2021-01-15T11:59:25Z,0.3192916666666667,29.335,33.756050350833334
30,2021-01-15T12:00:25Z,0.31254166666666666,29.33125,33.731495716666664
31,2021-01-15T12:01:25Z,0.30820833333333336,29.349166666666665,33.70311622083334
32,2021-01-15T12:02:25Z,0.3125,29.346666666666668,33.64462336291667
33,2021-01-15T12:03:25Z,0.32366666666666666,29.308333333333334,33.538358625
34,2021-01-15T12:04:25Z,0.308,29.334166666666665,33.40720105458333
35,2021-01-15T12:05:25Z,0.31562500000000004,29.364166666666666,33.524092590833334
36,2021-01-15T12:06:25Z,0.32575,29.366666666666667,33.53888120291666
37,2021-01-15T12:07:25Z,0.31233333333333335,29.340416666666666,33.40483713375
38,2021-01-15T12:08:25Z,0.31004166666666666,29.35333333333333,33.39600935875
39,2021-01-15T12:09:25Z,0.32245833333333335,29.38875,33.550778980416666
40,2021-01-15T12:10:25Z,0.3162916666666667,29.430833333333332,33.80284709958333
41,2021-01-15T12:11:25Z,0.3062916666666667,29.544583333333332,33.727284920416665
42,2021-01-15T12:12:25Z,0.32395833333333335,29.620416666666667,33.717849090416664
43,2021-01-15T12:13:25Z,0.3255416666666667,29.667083333333334,33.726764751666664
44,2021-01-15T12:14:25Z,0.317375,29.773333333333333,33.594730938333335
45,2021-01-15T12:15:25Z,0.32175,29.805416666666666,33.521547041666665
46,2021-01-15T12:16:25Z,0.322375,29.81875,33.5090710625
47,2021-01-15T12:17:25Z,0.330375,29.845,33.541629273333335
48,2021-01-15T12:18:25Z,0.32033333333333336,29.87,33.5064124975
49,2021-01-15T12:19:25Z,0.3260416666666667,29.952083333333334,33.455356559583336
50,2021-01-15T12:20:25Z,0.32983333333333337,29.973333333333333,33.435667797916665
51,2021-01-15T12:21:25Z,0.31995833333333334,29.962083333333332,33.437111035
52,2021-01-15T12:14:12Z,0.33090909090909093,29.827727272727273,33.50044611818182
53,2021-01-15T11:53:25Z,0.31677777777777777,29.36777777777778,33.74571414277778
54,2021-01-15T11:37:18Z,0.25866666666666666,29.304285714285715,33.90514948285714
55,2021-01-15T11:25:25Z,0.22458333333333336,29.2375,33.98599230208333
56,2021-01-15T11:26:25Z,0.2975,29.298333333333332,33.602722847083335
57,2021-01-15T11:27:25Z,0.3007916666666667,29.30291666666667,33.882951319583334
58,2021-01-15T11:28:25Z,0.299375,29.2975,33.88329742291667
59,2021-01-15T11:29:25Z,0.2974583333333333,29.307916666666667,33.85358067791667
